code,lat,lon,name,city,state,country,tz,type,runway_length,elev,NTGA
LAQ,32.76,21.7616,Al Bayda',Beida,Al Jabal al Akhdar,Libya,Africa/Tripoli,Airports,11981,2157,KLAR
LAR,37.8527,-76.517,General Brees Field,Laramie,Wyoming,United States,America/Denver,Airports,7700,7278,KLAS
LAS,36.0806,-115.143,Mccarran International Airport,Las Vegas,Nevada,United States,America/Los_Angeles,Airports,12636,2174,
LAU,-2.25,40.8333,Lamu Airport,Lamu,Coast,Kenya,Africa/Nairobi,Airports,4265,20,KLAW
LAW,34.573,-98.4135,Lawton Municipal Airport,Lawton,Oklahoma,United States,America/Chicago,Airports,8599,1110,KLAX
LAX,33.9456,-118.391,Los Angeles International Airport,Los Angeles,California,United States,America/Los_Angeles,Airports,12091,126,EGNM
LBA,53.8685,-1.66123,Leeds Bradford Airport,Leeds,England,United Kingdom,Europe/London,Airports,7381,682,KLBB
LBB,33.6566,-101.821,Lubbock International Airport,Lubbock,Texas,United States,America/Chicago,Airports,11500,3281,
LBC,53.8061,10.7032,Lubeck Airport,Lubeque,Schleswig-Holstein,Germany,Europe/Berlin,Airports,5912,53,
LBD,40.2833,69.6167,Khujand,Khudzhand,Leninobod,Tajikistan,Asia/Dushanbe,Airports,,,KLBE
LBE,40.2728,-79.4056,Westmoreland County Airport,Latrobe,Pennsylvania,United States,America/New_York,Airports,5501,1161,KLBF
LBF,41.1333,-100.705,Lee Bird Field Airport,North Platte,Nebraska,United States,America/Chicago,Airports,8000,2779,
LBJ,-8.51667,119.883,Mutiara Airport,Ende,Nusa Tengarra Timur,Indonesia,Asia/Makassar,Airports,3280,295,KLBL
LBL,37.0446,-100.952,Liberal Municipal Airport,Liberal,Kansas,United States,America/Chicago,Airports,7100,2887,
LBP,3.18333,115.45,,Long Banga,,Malaysia,Asia/Kuala_Lumpur,Airports,,,
LBS,-16.5729,179.265,Northern,Labasa,Northern,Fiji,Pacific/Fiji,Airports,3356,30,
LBU,5.3,115.249,Labuan Airport,Victoria,Labuan,Malaysia,Asia/Kuala_Lumpur,Airports,6380,99,FOOL
LBV,0.4592,9.4153,Libreville Leon M Ba Airport,Libreville,Estuaire,Gabon,Africa/Libreville,Airports,9843,39,LCLK
LCA,34.8789,33.6303,Larnaca Airport,Larnaca,Rep. Cyprus,Cyprus,Asia/Nicosia,Airports,8858,8,
LCE,15.7433,-86.8528,Goloson International Airport,La Ceiba,Atlántida,Honduras,America/Tegucigalpa,Airports,9783,49,LECO
LCG,43.3026,-8.37867,La Coruna Airport,S Esteban,Galicia,Spain,Europe/Madrid,Airports,5512,318,KLCH
LCH,30.1235,-93.2198,Lake Charles Regional Airport,Lake Charles,Louisiana,United States,America/Chicago,Airports,6500,15,EPLL
LCJ,51.7217,19.3989,Lodz Lublinek,Lodz,Woj. Lodzkie,Poland,Europe/Warsaw,Airports,4701,606,KLCK
LCK,39.8176,-82.936,Rickenbacker International Airport,Columbus,Ohio,United States,America/New_York,Airports,12100,744,
LCR,-0.73333,-73.0167,La Chorrera Airport,La Chorrera,Amazonas,Colombia,America/Bogota,Airports,,,
LCX,19.3542,-99.2925,,Longyan,Fujian,China,Asia/Shanghai,Airports,,,EGLC
LCY,51.5039,0.04981,London City Airport,London,England,United Kingdom,Europe/London,Airports,4327,6,
LDB,-23.3297,-51.1361,Londrina Airport,Londrina,Parana,Brazil,America/Sao_Paulo,Airports,6896,1867,LFBT
LDE,43.1857,0.00346,Ossun Airport,Juillan,Midi-Pyrenees,France,Europe/Paris,Airports,9843,1260,
LDG,64.9029,45.708,Leshukonskoye Airport,Leshukonskoye,Arkhangelrskaya Oblast,Russia,Europe/Moscow,Airports,,,
LDH,-31.5392,159.08,Lord Howe Island Airport,Lord Howe Island,New South Wales,Australia,Australia/Sydney,Airports,3298,13,
LDN,27.3,86.75,Lamidanda Airport,Lamidanda,Central,Nepal,Asia/Katmandu,Airports,1770,3500,
LDU,5.0319,118.324,Lahad Datu Airport,Lahad Datu,Sabah,Malaysia,Asia/Kuala_Lumpur,Airports,4500,45,
LDV,48.5303,-4.1508,Landivisiau Airport,Landivisiau,Brittany,France,Europe/Paris,Airports,,,EGAE
LDY,55.0402,-7.156,City of Derry Airport,Londonderry,Northern Ireland,United Kingdom,Europe/London,Airports,4695,18,YPLM
LEA,-22.233,114.092,Learmonth Airport,Learmonth,Western Australia,Australia,Australia/Perth,Airports,10100,19,KLEB
LEB,43.6249,-72.3087,Lebanon Municipal Airport,West Lebanon,New Hampshire,United States,America/New_York,Airports,5495,589,ULLI
LED,59.9667,30.3,Pulkuvo 2 Airport,St. Petersburg,St. Peterburg,Russia,Europe/Moscow,Airports,11155,59,LFOH
LEH,40.3897,-111.847,,Le Havre,Haute-Normandie,France,Europe/Paris,Airports,6890,312,LEAM
LEI,36.8459,-2.37221,Almeria Airport,Almeria,Andalucia,Spain,Europe/Madrid,Airports,7874,50,EDDP
LEJ,51.4197,12.2201,Leipzig-Halle Airport,Schkeuditz,Saxony,Germany,Europe/Berlin,Airports,8202,466,
LEN,34.1697,77.53,Aeropuero de Bajio,Leon,Castille and Leon,Spain,Europe/Madrid,Airports,,,
LER,-27.873,120.61,Leinster Airport,Sir Samuel,Western Australia,Australia,Australia/Perth,Airports,5700,1631,
LET,-4.19332,-69.9402,Gen. A.V. Cobo,Leticia,Amazonas,Colombia,America/Rio_Branco,Airports,6167,275,
LEV,37.2127,-83.6199,,Bureta,,Fiji,Pacific/Fiji,Airports,2543,11,KLEX
LEX,38.0384,-84.5989,Blue Grass Field,Lexington,Kentucky,United States,America/New_York,Airports,7003,980,
LFM,27.3739,53.1911,Lamerd,Lamerd,Fars,Iran,Asia/Tehran,Airports,3054,1345,KLFT
LFT,30.2084,-91.9935,Lafayette Regional Airport,Lafayette,Louisiana,United States,America/Chicago,Airports,7651,42,DXXX
LFW,6.1625,1.255,Lome Tokoin Airport,Lome,Lome,Togo,Africa/Lome,Airports,9843,72,KLGA
LGA,40.7731,-73.8756,LaGuardia Airport,Flushing,New York,United States,America/New_York,Airports,7000,22,
LGB,33.8186,-118.144,Long Beach Daugherty Field Airport,Long Beach,California,United States,America/Los_Angeles,Airports,10000,57,EBLG
LGG,50.64,5.44035,Bierset Airport,Velroux,Liege,Belgium,Europe/Brussels,Airports,8839,660,
LGI,23.1794,-75.0906,Deadmans Cay Airport,Deadmans Cay,Long Island,Bahamas,America/Nassau,Airports,4000,9,
LGK,6.3364,99.7353,Langkawi International Airport,Kuah,Perlis,Malaysia,Asia/Kuala_Lumpur,Airports,8001,29,
LGL,3.41667,115.15,Long Lellang,Long Lellang,,Malaysia,Asia/Kuala_Lumpur,Airports,2559,1400,
LGP,13.1578,123.731,Legazpi Airport,Daraga,Bicol Region,Philippines,Asia/Manila,Airports,6476,66,
LGQ,0.1,-76.8833,Lago Agrio Airport,Lago Agrio,Sucumbios,Ecuador,America/Guayaquil,Airports,6085,980,
LGW,51.1568,-0.16988,London Gatwick Airport,Horley,England,United Kingdom,Europe/London,Airports,10364,202,OPLA
LHE,31.521,74.3933,Lahore Airport,Lahore,Punjab,Pakistan,Asia/Karachi,Airports,11024,700,
LHG,-29.4531,147.981,New South Wales,Lightning Ridge,New South Wales,Australia,Australia/Sydney,Airports,5000,540,EGLL
LHR,51.4703,-0.45342,London Heathrow Airport,Hounslow,England,United Kingdom,Europe/London,Airports,12802,80,KLHW
LHW,36.0167,103.75,Lanzhou Airport,Lanzhou,甘肃省,China,Asia/Shanghai,Airports,3400,1947,
LIF,-20.9314,167.229,Loyalty Islands Airport,Wé,Loyaute,New Caledonia,Pacific/Noumea,Airports,3608,92,LFBL
LIG,45.8615,1.1779,Bellegarde Airport,Limoges,Limousin,France,Europe/Paris,Airports,8202,1299,PHLI
LIH,21.9782,-159.351,Lihue Airport,Lihue,Hawaii,United States,Pacific/Honolulu,Airports,6000,149,
LIL,50.5713,3.1072,Lesquin Airport,Fretin,Nord-Pas-de-Calais,France,Europe/Paris,Airports,9268,157,SPIM
LIM,-12.0228,-77.1081,Jorge Chavez Airport,Ventanilla,Provincia Constitucional del Cal,Peru,America/Lima,Airports,11506,113,LIML
LIN,45.4558,9.27269,Linate Airport,Peschiera Borromeo,Lombardy,Italy,Europe/Rome,Airports,8005,353,
LIO,9.9578,-83.0291,Limon International Airport,Pto. Limon,Limon,Costa Rica,America/Costa_Rica,Other Airport,5900,7,MRLB
LIR,10.5922,-85.5439,Tomas Guardia International Airport,Liberia,Guanacaste,Costa Rica,America/Costa_Rica,Airports,7465,230,LPPT
LIS,38.7701,-9.13775,Lisbon Airport,Lisbon,Lisbon,Portugal,Europe/Lisbon,Airports,12484,374,KLIT
LIT,34.7278,-92.219,Adams Field Airport,Little Rock,Arkansas,United States,America/Chicago,Airports,7173,258,
LIW,19.6886,97.2169,Loikaw Airport,Loi-kaw,Kayan State,Myanmar,Asia/Rangoon,Airports,5200,2940,
LJG,37.8167,118.017,Lijiang,Lijiang City,山东省,China,Asia/Shanghai,Airports,2066,0,LJLJ
LJU,46.2247,14.4608,Ljubljana Airport,Ljubljana,Kranj,Slovenia,Europe/Belgrade,Airports,10827,1273,
LKA,-8.34641,122.979,Larantuka,Larantuka,Nusa Tengarra Timur,Indonesia,Asia/Makassar,Airports,,,
LKB,-18.2,178.833,Lakemba Island,Lakeba,Eastern,Fiji,Pacific/Fiji,Airports,2495,280,
LKE,47.6333,-122.333,Lake Union Seaplane Base,Seattle,Washington,United States,America/Los_Angeles,Airports,,14,
LKG,4.20388,34.3495,Lokichoggio Airport,Lokichoggio,Rift Valley,Kenya,Africa/Nairobi,Airports,,,
LKH,3.31667,114.783,Long Akah,Long Akah,Sarawak,Malaysia,Asia/Kuala_Lumpur,Airports,,,ENNA
LKL,70.0661,24.975,Banak Airport,Lakeselv,Finnmark Fylke,Norway,Europe/Oslo,Airports,8530,25,
LKN,68.1564,13.6121,Leknes Airport,Leknes,Nordland Fylke,Norway,Europe/Oslo,Airports,2625,86,
LKO,26.7667,80.8833,Amausi International Airport,Lucknow,Uttar Pradesh,India,Asia/Kolkata,Airports,7835,400,ESPA
LLA,65.549,22.1233,Kallax Airport,Lulea,Norrbotten,Sweden,Europe/Stockholm,Airports,7218,55,
LLF,26.2333,111.617,Lingling Airport,LingLing,Hunan,China,Asia/Chongqing,Other Airport,,,
LLI,12.009,38.91,Ethiopia,Lalibela,Semen Welo,Ethiopia,Africa/Addis_Ababa,Airports,4921,6500,KLLU
LLU,60.5,-45.5833,Alluitsup Paa Airport,Alluitsup Paa,Vestgronland,Greenland,America/Godthab,Airports,,,
LLW,-13.7917,33.7792,Kamuzu International Airport,Lumbadzi,Dowa,Malawi,Africa/Blantyre,Airports,11614,4035,
LMA,63.8825,-152.313,Lake Minchumina,Lake Minchumina,Alaska,United States,America/Anchorage,Airports,4600,684,
LMC,3.31667,-73.9,Lamacarena Airport,San Juan de Arama,Meta,Colombia,America/Bogota,Airports,3099,1500,MMLM
LMM,25.6856,-109.082,Los Mochis Airport,Ahome,Sinaloa,Mexico,America/Mazatlan,Airports,6562,10,
LMN,2.91165,112.609,Sarawak,Limbang,Sarawak,Malaysia,Asia/Kuala_Lumpur,Airports,1412,70,LICD
LMP,35.4995,12.6165,Lampedusa Airport,Caltabellotta,Sicily,Italy,Europe/Rome,Airports,5905,72,KLMT
LMT,42.1638,-121.745,Klamath Falls International Airport,Klamath Falls,Oregon,United States,America/Los_Angeles,Airports,10301,4092,
LMY,-7.18482,142.374,Western,Lake Murray,Western,Papua New Guinea,Pacific/Port_Moresby,Airports,2495,200,
LNB,-16.5833,168.183,Lamen Bay Airport,Lamen Bay,,Vanuatu,Pacific/Efate,Airports,2789,7,
LNE,-15.8667,168.177,Lonorore Airport,Panngi,Penama,Vanuatu,Pacific/Efate,Airports,2953,43,
LNJ,25.1902,101.824,Yunnan,Lincang,Yunnan,China,Asia/Chongqing,Airports,,,KLNK
LNK,40.8461,-96.7543,Lincoln Municipal Airport,Lincoln,Nebraska,United States,America/Chicago,Airports,12901,1214,
LNO,-28.8776,121.315,Leonora Aerodrome,Leonora,Western Australia,Australia,Australia/Perth,Airports,4406,1217,
LNV,-3.06667,152.617,Gerrit Denys Island,Lihir Island,New Ireland,Papua New Guinea,Pacific/Port_Moresby,Airports,1900,300,PHNY
LNY,20.7909,-156.951,Lanai Airport,Lanai City,Hawaii,United States,Pacific/Honolulu,Airports,5000,1308,
LNZ,48.2338,14.1905,Linz Airport,Hoersching,Upper Austria,Austria,Europe/Vienna,Airports,9219,978,
LOD,31.9587,34.8864,,Longana,,Vanuatu,Pacific/Efate,Airports,2329,167,
LOH,-3.96911,-79.2116,Loja Airport,Loja,Loja,Ecuador,America/Guayaquil,Airports,5576,4061,DNMM
LOS,6.575,3.3222,Lagos Murtala Muhammed Airport,Ikeja,Lagos,Nigeria,Africa/Lagos,Airports,12795,135,KLOU
LOU,38.2228,-85.6669,Bowman Field Airport,Louisville,Kentucky,United States,America/New_York,Airports,,,MMMV
LOV,26.9561,-101.467,Monclova Airport,Frontera,Coahuila de Zaragoza,Mexico,America/Mexico_City,Airports,4784,1850,
LPA,27.9372,-15.3828,Las Palmas Airport,Telde,Canary Islands,Spain,Atlantic/Canary,Airports,10171,76,SLLP
LPB,-16.5094,-68.1906,El Alto International Airport,La Paz,La Paz,Bolivia,America/La_Paz,Airports,13123,13313,
LPD,-1.3,-69.7167,La Pedrera Airport,La Pedrera,Amazonas,Colombia,America/Bogota,Airports,4750,250,ESSL
LPI,58.4082,15.6586,Saab Airport,Linkoping,Ostergotland,Sweden,Europe/Stockholm,Airports,7382,306,
LPK,52.6194,39.6597,Russia,Lipetsk,Lipetskaya Oblast,Russia,Europe/Moscow,Airports,,,EGGP
LPL,53.3371,-2.85746,Liverpool John Lennon Airport,Liverpool,England,United Kingdom,Europe/London,Airports,7500,82,
LPM,-16.4445,167.819,Lamap Airport,Lamap,Malampa,Vanuatu,Pacific/Efate,Airports,2756,7,EFLP
LPP,61.0465,28.1536,Lappeenranta Airport,Lappeenranta,Southern Finland,Finland,Europe/Helsinki,Airports,6562,349,
LPQ,19.8958,102.164,Louangphrabang Airport,Louangphrabang,Louangphabang,Laos,Asia/Vientiane,Airports,6070,978,
LPS,48.4855,-122.936,Lopez Island Airport,Lopez Island,Washington,United States,America/Los_Angeles,Airports,2900,200,
LPT,18.2742,99.5072,Lampang Airport,Lampang,Lampang,Thailand,Asia/Bangkok,Other Airport,4890,794,
LPX,56.501,21.0897,Liepaja East Airport,Liepaya,Liepajas Rajons,Latvia,Europe/Riga,Other Airport,,,
LPY,45.0757,3.76327,Loudes Airport,Le Puy,Auvergne,France,Europe/Paris,Airports,4757,2730,
LQM,-0.12003,-74.8204,Puerto Leguizamo Airport,Puerto Leguízamo,Putumayo,Colombia,America/Bogota,Airports,3902,765,KLRD
LRD,27.5431,-99.4555,Laredo International Airport,Laredo,Texas,United States,America/Chicago,Airports,8201,508,YLRE
LRE,-23.4375,144.278,Longreach Aerodrome,Longreach,Queensland,Australia,Australia/Brisbane,Airports,5200,630,
LRH,46.1766,-1.19372,Laleu Airport,La Rochelle,Pays de la Loire,France,Europe/Paris,Airports,7021,72,MDLR
LRM,18.4103,-68.9417,La Romana Airport,La Romana,Romana,Dominican Republic,America/Santo_Domingo,Airports,6578,27,
LRR,27.6868,54.3334,Lar,Lar,Fars,Iran,Asia/Tehran,Airports,,,
LRS,37.1847,26.8017,Leros Airport,Lero,Notio Aigaio,Greece,Europe/Athens,Airports,2198,36,LFRH
LRT,47.7545,-3.43763,Lann Bihoue Airport,Ploemeur,Brittany,France,Europe/Paris,Airports,7316,161,
LSA,-6.65619,145.859,Papua New Guinea,Losuia,,Papua New Guinea,Pacific/Port_Moresby,Airports,5593,20,
LSC,-29.9111,-71.1978,La Florida Airport,Compañía Alta,Coquimbo,Chile,America/Santiago,Airports,6358,479,KLSE
LSE,43.8751,-91.2638,La Crosse Municipal Airport,La Crosse,Wisconsin,United States,America/Chicago,Airports,8536,654,
LSH,22.9767,97.7558,Lashio Airport,Lashio,Shan State,Myanmar,Asia/Rangoon,Airports,5252,2450,
LSI,59.877,-1.29733,Sumburgh Airport,Shetland,Scotland,United Kingdom,Europe/London,Airports,4678,18,
LSP,11.7794,-70.1525,Josefa Camejo Airport,Las Piedras,Falcon,Venezuela,America/Caracas,Airports,9186,75,
LSS,15.8686,-61.5778,Terre-De-Haut Airport,Trois-Rivières,Basse-Terre,Guadeloupe,America/Guadeloupe,Airports,,,YMLT
LST,-41.5469,147.213,Launceston Airport,Blessington,Tasmania,Australia,Australia/Hobart,Airports,-10,6500,
LSY,-28.8249,153.259,Lismore Airport,Lismore,New South Wales,Australia,Australia/Sydney,Airports,3930,35,
LTD,30.147,9.50288,Ghadames,Ghadames,Ghadamis,Libya,Africa/Tripoli,Airports,5740,1070,
LTI,44.9167,95.4167,Altay,Altai,Govi-Altay,Mongolia,Asia/Ulaanbaatar,Airports,,,
LTK,35.4028,35.95,Latakia Airport,Djeble,Al Ladhiqiyah,Syria,Asia/Damascus,Airports,8202,157,EGGW
LTN,51.8796,-0.37548,London Luton Airport,Luton,England,United Kingdom,Europe/London,Airports,7087,528,MMLT
LTO,25.9858,-111.353,Loreto Airport,Comondú,Baja California Sur,Mexico,America/Mazatlan,Airports,7218,10,
LTT,43.2037,6.47477,La Mole Airport,Grimaud,Provence-alpes-cote d'Azur,France,Europe/Paris,Airports,,,
LTX,0.933333,-78.6167,,Latacunga,Cotopaxi,Ecuador,America/Guayaquil,Airports,,,
LUA,27.6833,86.7333,Lukla Airport,Solukhumbu,Central,Nepal,Asia/Katmandu,Airports,1476,9100,KLUD
LUD,-26.6839,15.245,Luderitz Airport,Luderitz,Karas,Namibia,Africa/Windhoek,Airports,6004,426,KLUF
LUF,33.5355,-112.372,Luke Air Force Base,Webb,Arizona,United States,America/Phoenix,Military Airport,9910,1085,KLUG
LUG,46.0013,8.90909,Lugano Airport,Agno,Canton of Ticino,Switzerland,Europe/Zurich,Airports,3937,915,KLUM
LUM,24.4833,98.5167,Mangshi,Luxi,Yunnan,China,Asia/Shanghai,Airports,,,FLLS
LUN,-15.3292,28.4528,Lusaka International Airport,Lusaka,Lusaka,Zambia,Africa/Lusaka,Airports,13000,3779,
LUO,-11.791,19.9046,Luena,Luena,Moxico,Angola,Africa/Luanda,Airports,8200,4360,PHLU
LUP,21.2077,-156.976,Kalaupapa Airport,Kalaupapa,Hawaii,United States,Pacific/Honolulu,Airports,2760,26,
LUQ,-33.2744,-66.3586,San Luis Airport,Villa General Roca,San Luis,Argentina,America/Buenos_Aires,Airports,9842,2329,PALU
LUR,68.8482,-166.118,Cape Lisburne Long-Range Radar Station,Point Hope,Alaska,United States,America/Anchorage,Military Airport,5009,12,
LUV,0.10974,113.917,Indonesia,Langgur,,Indonesia,Asia/Jakarta,Airports,4363,10,ELLX
LUX,49.6269,6.20685,Luxembourg Airport,Sandweiler,Luxemburg,Luxembourg,Europe/Luxembourg,Airports,13123,1234,
LVI,-17.8208,25.8225,Livingstone Airport,Livingstone,Southern,Zambia,Africa/Lusaka,Airports,7520,3250,
LVO,-28.6083,122.417,Laverton Aerodrome,Laverton,Western Australia,Australia,Australia/Perth,Airports,4606,1525,KLWB
LWB,37.8571,-80.4044,Greenbrier Valley Airport,Lewisburg,West Virginia,United States,America/New_York,Airports,7004,2303,
LWE,0.10974,113.917,Indonesia,Lewoleba,,Indonesia,Asia/Jakarta,Airports,,,UDSG
LWN,40.7859,43.8439,Gyumri Airport,Gyumri,Shirak,Armenia,Asia/Yerevan,Airports,,,UKLL
LWO,49.7977,23.9695,Sknilov Airport,L'viv,L´vivs´ka Oblast´,Ukraine,Europe/Kiev,Airports,8235,1063,KLWS
LWS,46.3776,-117.011,Lewiston Nez Perce County Airport,Lewiston,Idaho,United States,America/Los_Angeles,Airports,6512,1438,KLWT
LWT,47.0552,-109.46,Lewistown Municipal Airport,Lewistown,Montana,United States,America/Denver,Airports,5600,4167,
LWY,4.8615,115.406,Lawas,Lawas,Sarawak,Malaysia,Asia/Kuala_Lumpur,Airports,1700,5,ZULS
LXA,29.6355,91.1646,Lhasa,Lhasa,西藏自治区,China,Asia/Shanghai,Airports,,,
LXG,20.9667,101.4,Luang Namtha,Luang Namtha,Louangnamtha,Lao People's Democratic Republic,Asia/Bangkok,Airports,4330,1968,
LXR,25.675,32.7075,Luxor Airport,Luxor,Qina,Egypt,Africa/Cairo,Airports,9843,288,
LXS,39.9214,25.2417,Limnos Airport,Moudhros,Voreio Aigaio,Greece,Europe/Athens,Airports,9843,15,
LYA,34.6833,112.467,Luoyang Airport,Luoyang,Henan,China,Asia/Shanghai,Airports,,,
LYB,19.6901,-80.0385,Boddenfield Airport,Little Cayman,Little Cayman,Cayman Islands,America/Cayman,Other Airport,3311,4,
LYC,64.5501,18.7082,Lycksele Airport,Lyoksele,Vasterbotten,Sweden,Europe/Stockholm,Airports,3609,692,
LYG,34.5995,119.141,Lianyungang,Lianyungang,Jiangsu,China,Asia/Shanghai,Airports,,,KLYH
LYH,37.3309,-79.1944,Lynchburg Regional Airport,Lynchburg,Virginia,United States,America/New_York,Airports,5799,938,
LYI,35.0631,118.343,Linyi,Linyi,Shandong,China,Asia/Shanghai,Airports,,,
LYP,31.3692,72.9981,Faisalabad Airport,Shah Faisalabad,Punjab,Pakistan,Asia/Karachi,Airports,9300,607,ENSB
LYR,78.1917,15.9,Svalbard Longyear Airport,Longyearbyen,Svalbard,Norway,Europe/Oslo,Airports,7021,94,LFLL
LYS,45.7198,5.08245,Lyon Airport,Colombier,Rhone-Alpes,France,Europe/Paris,Airports,13123,814,MMLC
LZC,17.9889,-102.219,Lazaro Cardenas Airport,Arteaga,Michoacan de Ocampo,Mexico,America/Mexico_City,Airports,4922,36,
LZH,24.2717,109.372,Liuzhou Airport,Linzhou,Guangxi,China,Asia/Shanghai,Airports,,,
LZN,26.1497,119.939,Nankan,Nangan,Fujian,Taiwan,Asia/Taipei,Airports,,,
LZO,28.8516,105.401,Luzhou Airport,Luzhou,Sichuan,China,Asia/Shanghai,Airports,,,VOMM
MAA,12.9849,80.1634,Chennai International Airport,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,Airports,10050,50,
MAB,-5.3533,-49.1336,Maraba Airport,Marabá,Para,Brazil,America/Araguaina,Airports,6575,358,LEMD
MAD,40.4684,-3.56769,Barajas Airport,Madrid,Madrid,Spain,Europe/Madrid,Airports,13451,1998,KMAF
MAF,31.9361,-102.208,Midland International Airport,Midland,Texas,United States,America/Chicago,Airports,9501,2871,
MAG,-5.21,145.787,Madang Airport,Madang,Madang,Papua New Guinea,Pacific/Port_Moresby,Airports,5150,20,
MAH,39.8652,4.22383,Menorca Airport,Mao,Balearic Islands,Spain,Europe/Madrid,Airports,7710,287,
MAJ,7.0605,171.275,Marshall Islands International Airport,Majuro,Majuro,Marshall Islands,Pacific/Kwajalein,Airports,7900,6,
MAK,9.5556,31.6444,Malakal Airport,Malakal,A ali an Nil,Sudan,Africa/Khartoum,Airports,6600,1270,MMMA
MAM,25.7694,-97.5239,General Sevando Canales Airport,Matamoros,Tamaulipas,Mexico,America/Mexico_City,Airports,7546,27,EGCC
MAN,53.365,-2.27089,Manchester International Airport,Manchester,England,United Kingdom,Europe/London,Airports,10000,256,KMAO
MAO,-3.0392,-60.0469,Eduardo Gomes International Airport,Manaus,Amazonas,Brazil,America/Manaus,Airports,8858,279,SVMC
MAR,10.5614,-71.7253,La Chinita International Airport,Maracaibo,Zulia,Venezuela,America/Caracas,Airports,9843,235,
MAS,-2.1052,146.926,Manus Island Airport,Lorengau,Manus,Papua New Guinea,Pacific/Port_Moresby,Airports,7020,12,
MAU,-16.4311,-152.28,Society Islands Airport,Papeete,Leeward Islands,French Polynesia,Pacific/Tahiti,Airports,2673,13,TJMZ
MAZ,18.2531,-67.1489,Eugenio Maria de Hostos Airport,Mayaguez,Puerto Rico,United States,America/Puerto_Rico,Airports,5000,29,HKMO
MBA,-4.0314,39.5936,Moi International Airport,Mombasa,Coast,Kenya,Africa/Nairobi,Airports,10991,196,
MBD,-25.8,25.545,Mmabatho International Airport,Mmabatho,North-west,South Africa,Africa/Johannesburg,Other Airport,14928,4189,
MBE,44.3046,143.404,Okhotsk-Monbetsu Airport,Monbetsu-shi,Hokkaido Prefecture,Japan,Asia/Tokyo,Airports,3940,20,
MBH,-25.515,152.714,Maryborough Airport,Maryborough,Queensland,Australia,Australia/Brisbane,Airports,5200,38,MKJS
MBJ,18.5042,-77.9125,Sangster International Airport,Montego Bay,Saint James,Jamaica,America/Jamaica,Airports,8700,4,KMBL
MBL,44.2757,-86.2558,Manistee County-Blacker Airport,Manistee,Michigan,United States,America/New_York,Airports,5502,620,KMBS
MBS,43.5311,-84.0933,MBS International Airport,Freeland,Michigan,United States,America/New_York,Airports,8000,668,KMBT
MBT,12.3703,123.628,Masbate Airport,Masbate,Bicol Region,Philippines,Asia/Manila,Airports,3937,33,
MBU,-9.73333,160.75,Mbambanakira,Mbambanakira,Guadalcanal,Solomon Islands,Pacific/Noumea,Airports,2217,70,KMCE
MCE,37.2892,-120.515,Merced Municipal Airport-Macready Field,Merced,California,United States,America/Los_Angeles,Airports,5903,153,PAMC
MCG,62.9536,-155.603,Mcgrath Airport,Mcgrath,Alaska,United States,America/Anchorage,Airports,5481,337,KMCI
MCI,39.2992,-94.7171,Kansas City International Airport,Kansas City,Missouri,United States,America/Chicago,Airports,10801,1025,KMCK
MCK,40.2071,-100.599,Mccook Municipal Airport,Mccook,Nebraska,United States,America/Chicago,Airports,5998,2579,
MCM,43.7278,7.41875,Monte Carlo Heliport,Monaco-Ville,La Condamine,Monaco,Europe/Monaco,Airports,,,KMCN
MCN,32.7023,-83.65,Middle Georgia Regional Airport,Macon,Georgia,United States,America/New_York,Airports,6501,354,KMCO
MCO,28.4418,-81.3115,Orlando International Airport,Orlando,Florida,United States,America/New_York,Airports,12004,96,
MCP,0.0525,-51.0675,Macapa International Airport,Macapá,Amapa,Brazil,America/Manaus,Airports,6847,52,OOMS
MCT,23.5917,58.2792,Seeb International Airport,Muscat,Masqat,Oman,Asia/Muscat,Airports,11762,48,
MCV,47.452,-122.288,,Mcarthur River,Northern Territory,Australia,Australia/Darwin,Airports,5180,125,KMCW
MCW,43.153,-93.3361,Mason City Municipal Airport,Clear Lake,Iowa,United States,America/Chicago,Airports,6501,1213,KMCX
MCX,42.8209,47.6288,Makhachkala-Uytash Airport,Khasavyurt,Dagestan,Russia,Europe/Volgograd,Airports,,,YBMC
MCY,-26.6035,153.091,Maroochydore Aerodrome,Mudjimba,Queensland,Australia,Australia/Brisbane,Airports,5500,15,KMCZ
MCZ,-9.5117,-35.8,Zumbi dos Palmares International Airport,Maceio,Alagoas,Brazil,America/Belem,Airports,6234,377,
MDC,1.5486,124.926,Sam Ratulangi Airport,Manado,North Sulawesi,Indonesia,Asia/Makassar,Airports,8202,262,SKRG
MDE,6.1675,-75.4267,Jose Maria Cordova Airport,Ríonegro,Antioquia,Colombia,America/Bogota,Airports,11483,7028,
MDG,44.6,129.5,Mudanjiang,Mudanjiang,黑龙江省,China,Asia/Shanghai,Airports,,,
MDK,0.0233,18.2922,Mbandaka Airport,Mbandaka,Democratic Republic of,Congo,Africa/Kinshasa,Airports,7430,1040,
MDL,21.9392,96.0914,Mandalay Airport,Mandalay,Mandalay,Myanmar,Asia/Rangoon,Airports,14000,300,KMDQ
MDQ,-37.9347,-57.5764,Mar del Plata Airport,Mar del Plata,Buenos Aires,Argentina,America/Buenos_Aires,Airports,7218,72,KMDS
