code,lat,lon,name,city,state,country,tz,type,runway_length,elev,NTGA
ACE,28.9521,-13.6085,Arrecife Airport,San Bartolomé,Canary Islands,Spain,Atlantic/Canary,Airports,7874,46,LSZR
ACH,47.4887,9.55376,Altenrhein Airport,Altenrhein,Canton of St. Gallen,Switzerland,Europe/Zurich,Airports,4350,1306,EGJA
ACI,49.7134,-2.22089,The Blaye Airport,St. Peter Port,Channel Islands,United Kingdom,Europe/Jersey,Airports,2887,291,KACK
ACK,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket,Massachusetts,United States,America/New_York,Airports,6303,48,KACP
ACP,68.1609,-151.696,Sahand Airport,Sahand,,Iran,Asia/Tehran,Airports,,,
ACS,47.7006,18.0064,,Achinsk,Krasnoyarskiy Kray,Russia,Asia/Krasnoyarsk,Airports,,,KACT
ACT,31.609,-97.2234,Waco Regional Airport,Waco,Texas,United States,America/Chicago,Airports,6597,516,KACV
ACV,40.9698,-124.108,Arcata Airport,Mckinleyville,California,United States,America/Los_Angeles,Airports,5998,218,
ACX,25.0887,104.89,Xingyi,Xingyi,Guizhou,China,Asia/Chongqing,Airports,,,KACY
ACY,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City,New Jersey,United States,America/New_York,Airports,10000,76,KACZ
ACZ,31.0385,61.4962,Zabol A/P,Zabol,Sistan va Baluchestan,Iran,Asia/Tehran,Airports,,,LTAF
ADA,36.9811,35.2803,Sakirpasa Airport,Adana,Adana,Turkey,Europe/Istanbul,Airports,9022,64,LTBJ
ADB,38.32,27.1603,Gaziemir Airport,Azmir,İzmir,Turkey,Europe/Istanbul,Airports,7700,412,HAAB
ADD,8.9783,38.8011,Bole International Airport,Addis Ababa,Debub Shewa,Ethiopia,Africa/Addis_Ababa,Airports,12139,7625,OYAA
ADE,12.8278,45.0306,Aden International Airport,Ash Shaykh Uthman,`Adan,Yemen,Asia/Aden,Airports,10270,12,LTAG
ADF,37.8099,38.3357,Adiyaman Airport,Adiyaman,Adıyaman,Turkey,Europe/Istanbul,Airports,,,OJAM
ADJ,31.973,35.9822,Al Matar Airport,Amman,'Amman,Jordan,Asia/Amman,Airports,,,PADK
ADK,51.88,-176.639,Adak Airport,Adak,Alaska,United States,America/Adak,Airports,7794,19,YPAD
ADL,-34.9464,138.529,Adelaide International Airport,Adelaide,South Australia,Australia,Australia/Adelaide,Airports,10171,20,PADQ
ADQ,57.7545,-152.512,Kodiak Airport,Kodiak,Alaska,United States,America/Anchorage,Airports,7548,73,OITL
ADU,38.2465,48.2951,Ardabil Airport,Ardabil,Ardabil,Iran,Asia/Tehran,Airports,,,EGQL
ADX,56.377,-2.86117,Leuchars Airport,St. Andrews,Scotland,United Kingdom,Europe/London,Airports,8707,38,SKSP
ADZ,12.5811,-81.7092,Sesquicentenario Airport,San Andrés,San Andres y Providencia,Colombia,America/Bogota,Airports,7808,19,FTTC
